,Unnamed: 0,Nombre de usuario,Usuario,Fecha,Texto
6492,926,Andrés Sánchez,@aisz1983,2021-02-15,alegra llegado primeras dosis vacuna colombia 50000 ser exacto decir mayor logro gobierno demuestra ineficacia administracion mas aun region estan vacunado hace rato
6493,927,Miguel Angel,@MiguelHoyos92,2021-02-15,cosas pensar tenia razon venia vacuna procedente belgica toda colombia asi muchachos compatriotas belga llego pa mundo belga belga buena calidad
6494,928,Joel Tamayo,@joeltamay,2021-02-15,aun falta crecer ciudadania lado cubrimiento apoteosico llegada vacuna colombia lado critica llegar apenas 50000 vacunas 30 millones prometidas
6495,929,JM+,@Jaherito,2021-02-15,pudo comprar vacuna mas economica mas eficaz compro costosa aun quedan dudas cumplio sola palabra dicha colombia gente aplaudiendo semejante esperpento pais merece suerte
6496,930,Sebastian Puerta'O,@elmalperiodista,2021-02-15,banderita colombia cuenta regalo haber comprado dosis vacuna
6497,931,Yami,@YamiNova08,2021-02-15,verdad cree colombia alguito futuro entera hacen caravana vacuna aeropuerto dorado ser decente
6498,932,Ricardo L chef,@RALRchef,2021-02-15,vengan pasando sorprende aqui feria vacuna va ser colombia primero primos hermanos amigo amigo asi ojala equivoque pais asi
6499,933,Sergio Serrano,@sergio_serrano_,2021-02-15,vacuna pfizer llego colombia proviene bruselas vacuna belga
6500,934,Gustavo Amaya,@Mamayamojika,2021-02-15,estan demorando medios comunicacion entrevistar altos gerentes dhl colombia preguntarles cosas estupidas piensan empresa transporto vacuna
6501,935,Nélson.,@N_GMS,2021-02-15,enserio prefiero hablen porcelana james rodriguez casi dos horas vacuna llego colombia noticieros orto
6502,936,Adrián Saavedra,@adrian236,2021-02-15,unica vacuna necesita colombia odio resentimiento mala leche
6503,937,Eunice Yepes,@Eunice_Yepes,2021-02-15,existe falta hace ministro defensa hoy15 febrero llego vacuna colombia dios santa gloriaa familia resignacion att cr yepes
6504,938,• CÁCERES •,@CholoCac,2021-02-15,si paises desarrollados familias politicos colaron vacuna hace pensar colombia
6505,939,DianisG,@DdianiFeliZ,2021-02-15,da miedo ver calana gente quiere ganar 2022 punta celebrar vaya mal colombia fracase vacuna ver negocios quebradoses ver adelanto si ganan resentimiento puro destruyendo economia sociedadun pais
6506,940,Eduardo Calderon,@Eduardo70698741,2021-02-15,demora salir ikki hombre cosmos lleno odio criticar denigrar vacuna llego hoy pais sujeto odia progreso colombia jamas llegara presidencia ser maldad shao petro
6507,941,BocachicoSalpreso,@BSalpreso,2021-02-15,quisiera salir pitar echar harina camiseta seleccion colombia llegada vacuna
6508,942,Karen Rodríguez.,@Kaaa_ros,2021-02-15,pa vacuna pobreza colombia
6509,943,Tatianaantolinez.,@tatiantolinezp,2021-02-15,verdadera vacuna va recibir colombia reforma tributaria planea llevar cabo duque pilas colombia
6510,944,Orlando Villar,@ovillar,2021-02-15,inicio vacunacion colombia adelanto proximo miercoles 17 febrero sera sabado 20 primera vacuna aplicara jefe enfermeria rocio perez via
6511,945,Mariaaaa,@CrMjaramillo,2021-02-15,gracias presidente duque uste hecho colombia dificiles momento llegada vacuna da esperanza mejor futuro
6512,946,Cuatro Vértices,@CuatroVertices,2021-02-15,atencion primeras 50000 dosis vacuna pfizer coronavirus arribaron lunes colombia
6513,947,Sebastián.,@tiancardona_,2021-02-15,adivinen va ser primer vacuna colombia exacto plaga uribe
6514,948,𝕸𝖎𝖌𝖚𝖊𝖑 𝕾𝖎𝖑𝖛𝖆,@miguesilvasol,2021-02-15,cantidad vacunas llegaron venezuela podido vacunar cantidad personas cubrira vacuna llega colombia
6515,949,Adrián,@Adrin67009997,2021-02-15,vacunas ir banco abonar 50 mil pesitos deuda 50 millones
