Nombre de usuario,Usuario,Fecha,Texto
Genio solitario.,@SerranoPablo5,2020-12-10T15:06:48.000Z,"#YoNoMeVacuno es un hastag real, esta ocurriendo, 2020. Ver para creer...."
Jorge Benjamín Lojo,@DrJorgeBLojo,2020-12-10T14:36:28.000Z,"#YoNoMeVacuno no soy rata de laboratorio, que vacunen a funcionarios públicos"
Golfo,@Antonirogergc,2020-12-10T12:55:26.000Z,"Los tíos que se vacunen, perderán entre 2 y 3 tonos musicales.

Ahí lo dejo.

#YoNoMeVacuno"
filosofia mis cojones,@allindefarol,2020-12-10T12:52:10.000Z,"Fachas: #YoNoMeVacuno #plandemia 
Este covid es mentira...
Also fachas: Voy a rezarle a la virgen del Pilar y a poner una velita pa aprobar"
HⒶrald #YoNoVoto,@harald_skeiv,2020-12-10T12:38:29.000Z,"Se va a vacunar su puta madre 
 #YoNoMeVacuno"
MJGV,@MJGV92428129,2020-12-10T11:57:53.000Z,Si eres de los de #YoNoMeVacuno haznos de verdad un favor a la Humanidad y no te vacunes!!!
Hispania,@PFuertesg,2020-12-10T11:37:37.000Z,#YoNoMeVacuno que se vacune su puta madre
lovedeath,@lovedeath2,2020-12-10T11:25:45.000Z,#YoNoMeVacuno Pero te metes drogas
Lord Vader,@mantisreligioso,2020-12-10T11:23:55.000Z,También quiero creer que no te vas a acunar!. #YoNoMeVacuno
Joaquin Ramos,@InmigranteA,2020-12-10T11:06:36.000Z,"He leído en 
@okdiario
 que el que se ponga la vacuna, en cuestión de días se conviertirá en comunista. Prefiero coger el covid y morir fiel a la patria antes que ser comunista. Espero que 
@vox_es
 haga algo. #YoNoMeVacuno"
@LordDarthVader,@LordDarthVader,2020-12-10T11:00:24.000Z,LOS POLÍTICOS SON NUESTROS ENEMIGOS. #YoNoMeVacuno
@LordDarthVader,@LordDarthVader,2020-12-10T10:59:56.000Z,NO VACUNARSE. #YoNoMeVacuno
vagabundo cósmico,@marcosfddez,2020-12-10T10:33:13.000Z,Los de #YoNoMeVacuno os animo a que sigáis así. Mas para los demás y con suerte el COVID os explica lo que ocurre si no os la ponéis 
Mónica 𓂀,@monicamfa,2020-12-10T10:26:57.000Z,Yo a los del hashtag #YoNoMeVacuno no les discutiría nada y que no se vacunen. Selección natural wins. Darwin approves. Naturaleza approves. 
capreecoño,@capreecono,2020-12-10T10:18:33.000Z,los mismos del #YoNoMeVacuno son los que no han leído un prospecto en su vida
Nolita,@NolitaPunch,2020-12-10T10:17:39.000Z,"Yo haría como en Wuhan, no hacer NADA, el bicho se fue sin más 
 Estan haciendo vida normal hace tiempo. Que nos toman el pelo!!
#YoNoMeVacuno"
Enrique Alonso,@eavendrell,2020-12-10T10:10:04.000Z,"He oído por ahí que van a poner la vacuna en todos los productos de higiene personal: jabón, champú, desodorantes, pasta de dientes, enjuagues, colonias, cremas, detergentes para ropa...
#YoNoMeVacuno "
Óscar,@oz_padfoot,2020-12-10T09:31:47.000Z,"Me juego un brazo a que si un famoso casposo va al Hormiguero y promueve el vacunarse, los del #YoNoMeVacuno cambian de opinión."
Wave,@to_wave,2020-12-10T09:27:48.000Z,"Que en este vuestro país a los #YoNoMeVacuno les van a poner alfombra roja y hasta dar paguita lo sabemos todos, no?"
Alejandro Llorens Arnau,@alejandrolloar,2020-12-10T09:26:06.000Z,#YoNoMeVacuno pero cada sábado me calzo 10 cubatas y medio pollo
Θğα๖єໄ® ॐ,@ogabel_,2020-12-10T09:11:37.000Z,"Obedece. No dudes, no pienses, tu gobierno ya lo hace por ti.

#YoNoMeVacuno"
Mr. Fernández,@Ale7Fernandez,2020-12-10T09:09:17.000Z,¿Por qué en el hastagh #YoNoMeVacuno hay tanta banderita de España? 
carmen1994able KawaiGirl,@carmen1994able2,2020-12-10T08:58:04.000Z,"#YoNoMeVacuno 
Me puse de las primeras vacunas cuando tenia 18 meses, 1 año y medio, para ser exactos, tuve fiebre (convulsión febril), perdida del apetito durante 2 años, ni comía ni dormía, irritabilidad, entre otras cosas más, desde aquel entonces, la misma me creó autismo."
X. Duarte,@_xduarte_,2020-12-10T08:53:51.000Z,"#YoNoMeVacuno
Vacúnate, coño, no seas guaitrás."
Jesús,@gsus_cm,2020-12-10T08:48:26.000Z,"No hace mucho los antivacunas eran 4 tarados de los que se reía todo el mundo y se daba de lado por el peligro que tiene su discurso para el resto. Ahora los medios no dejan de hacer de altavoz para ellos, lo mismo que pasa con los fascistas. #YoNoMeVacuno"
Policarpo,@BIELBOG7,2020-12-10T08:41:07.000Z,#YoNoMeVacuno me uno.a la iniciativa.
Rafa,@soyfacha_,2020-12-10T08:39:05.000Z,"Pincharse un poquito de droga si, una vacuna para hacer vida normal no, de vd q sois gilipollas los q estáis escribiendo en serio eh #YoNoMeVacuno"
Marc,@MarcMS_,2020-12-10T08:30:17.000Z,Confirmamos que la gran mayoria de #YoNoMeVacuno tienen un coeficiente intelectual asombrosamente bajo???? Confirmamos
Mowels,@92Mowls,2020-12-10T08:30:05.000Z,"Hoy #DiaDeLosDerechosHumanos, reivindico el derecho del ser humano a ser hipócrita. #YoNoMeVacuno (pero del Covid). ¿De la gripe, del tétanos o de la hepatitis? Ponme 3 de esas. Si vais a ser valientes, id con todo."
"Bea
Vox",@beajudd,2020-12-10T08:29:43.000Z,"Tenenos claro a estas alturas  que este gobierno criminal es un mentiroso patológico con adeptos a sus mentiras, que se siguen creyendo que les están diciendo la verdad con lo eficaz y nociva que es la vacuna...
#YoNoMeVacuno"
Rondador Diurno,@RondadorD,2020-12-10T08:23:02.000Z,"Muchos piden que se identifique públicamente a los que no se quieran poner la vacuna.

Quizá algo sencillo, como una letra escarlata en la ropa o una estrella de David en el brazo. Así se les podría increpar por la calle o no dejar entrar a comercios y hospitales.

#YoNoMeVacuno"
